,spearman,p_value,change,slope,spearman*abs-change
fucktard,-0.08450232687937136,0.44194410358342606,-0.00019594458933351556,-2.332673682541852e-06,-1.6557773738104916e-05
fukin,-0.17345705219807642,0.14800244743569915,-8.366800535475234e-05,-1.1952572193536049e-06,-1.4512805572128214e-05
gf,-0.14037521985538404,0.20005722736326445,-0.0017312636744005292,-2.0610281838101537e-05,-0.00024302651892161428
gb,-0.1275484301331572,0.26577602434453473,-0.0005491199842058116,-7.131428366309241e-06,-7.003939194019534e-05
gd,-0.2718883021873221,0.016038628752166637,-0.000207315130352907,-2.6924042902974936e-06,-5.636655880939524e-05
gis,-0.1108112049467847,0.321641737702756,-0.00011492263158400894,-1.4187979207902338e-06,-1.2734715281479448e-05
gl,-0.07211570998086589,0.509351808002602,-0.0002641043216763577,-3.1071096667806785e-06,-1.9046070666705523e-05
gm,0.02704399195404525,0.8215895981195956,5.797600633850638e-06,8.165634695564279e-08,1.5679026489462428e-07
goin,0.05307201155265293,0.6274565290459562,-0.00030160792742134985,-3.5483285578982337e-06,1.6006939408477587e-05
gotcha,0.5503235571143394,7.062801641419856e-08,0.001094299551459457,1.3345116481212891e-05,0.0006022188217077945
goya,0.12623668035926242,0.29417248842480487,-3.987749913650046e-05,-5.696785590928637e-07,5.0340031120211714e-06
gp,0.059596980887323896,0.5857004551458073,-0.00029796759869223636,-3.5055011610851336e-06,1.7757969284303007e-05
grats,-0.04598505025805117,0.6972393991772938,-0.00020929510558195493,-2.8670562408486975e-06,-9.624445948950323e-06
grog,0.06439171570023637,0.5630343067101258,-0.00031036623215394165,-3.784954050657825e-06,1.9985014183810172e-05
gt,0.05091374148611361,0.6579932214685629,1.91019599651058e-05,2.4807740214423116e-07,9.725522515414884e-07
gta,-0.001684452770510243,0.9886356957172462,-0.00012759283305767422,-1.747847028187318e-06,-2.1492410114125026e-07
gtfo,-0.23003059658680666,0.04276152004337065,-0.0007876845141407972,-1.0229669014815548e-05,-0.0001811915387099965
guru,-0.03278755197381927,0.7671691427892124,-0.00023520498717124225,-2.8337950261595453e-06,-7.7117957413786e-06
ho,0.1040722098075414,0.3402882132435502,-8.747711353655866e-05,-1.0291425121948077e-06,9.103936513334852e-06
hw,-0.08538267055512071,0.482189733598994,9.366571636284238e-06,1.3574741501861215e-07,-7.99742900251795e-07
h2o,0.022617932640435368,0.844174844844054,-9.932731703942923e-05,-1.289965156356224e-06,2.2465785661529786e-06
hai,0.05792082291408889,0.6052415983805951,-0.00020275750202757503,-2.5031790373774693e-06,1.1743881369442193e-05
havnt,0.1308112654483717,0.27688172993959204,-0.0001147814532342425,-1.6397350462034643e-06,1.501470714757436e-05
hella,0.17317672427007638,0.11973464968986007,-0.0002347436838208534,-2.89807017062782e-06,4.065214220718592e-05
hf,0.4910121937747981,1.1913737191560321e-05,0.0010712827411774874,1.5088489312358977e-05,0.0005260128888986374
hg,0.026250221649418985,0.8126388252949054,-0.00023169158744565995,-2.7914649089838547e-06,6.081955524754315e-06
hijack,0.021077460651288085,0.852777227801624,-0.00017930144535805557,-2.2696385488361464e-06,3.779219159253497e-06
hl,0.33909797820127724,0.0023894029632346887,-0.00010279617980169114,-1.335015322099885e-06,3.485797673756844e-05
homie,0.25007333504866286,0.027234354838610097,-0.0002652498291153081,-3.444802975523482e-06,6.633190938795301e-05
homo,-0.11079132753295007,0.31276683887823087,-0.0004952364354595097,-5.895671850708449e-06,-5.486790212724523e-05
hr,0.37375578286873395,0.000813163423323261,0.0005089291165757094,6.696435744417228e-06,0.0001902152003904474
hrs,0.08475654301931257,0.4350801774085179,-0.0005878090914885746,-6.8349894359136585e-06,4.9820666549894415e-05
hs,-0.1886710493992503,0.11246752196220137,-0.00027754765330626575,-3.909121877553039e-06,-5.236520700759246e-05
hubby,-0.03560664041914817,0.7538532764407744,-0.0002192982456140351,-2.7759271596713303e-06,-7.808473776128984e-06
hy,-0.028833500161126024,0.8021301045645892,-0.0009006367735470773,-1.1696581474637367e-05,-2.5968510555185676e-05
ianal,0.04891708019219527,0.6546814556548968,-0.0003458056688798229,-4.0683019868214465e-06,1.6915803635510023e-05
ib,-0.027627753836570637,0.8114834289191357,-0.000169548999660902,-2.2309078902750262e-06,-4.6842580258681985e-06
ic,0.1924607435771886,0.07761997161805821,-0.0001563561069961966,-1.8613822261451975e-06,3.0092412615322456e-05
idk,0.7440156002676368,1.7442897651945566e-15,0.002577402805604243,3.221753507005304e-05,0.001917627895543132
ij,0.15003684640486073,0.17578482377290047,-0.0004360595200913538,-5.317799025504314e-06,6.542499523932374e-05
ima,-0.31903250536524685,0.006692802005582338,-0.00023646362027676584,-3.378051718239512e-06,-7.5439581204633e-05
indie,0.22662208357569322,0.03701175132539849,-6.589911565184695e-05,-7.845132815696065e-07,1.4934194894817132e-05
intel,-0.19219865456505406,0.10578416798208097,-0.00015728402420045316,-2.2152679464852556e-06,-3.02297778359045e-05
ip,0.3459116373981063,0.0013595344675522956,2.1773636475931146e-05,2.655321521455018e-07,7.531754245500477e-06
irl,-0.35021868749517604,0.0017937445463709813,-0.0004938422425862431,-6.49792424455583e-06,-0.00017295278202822837
iso,0.4876219083856265,1.9186116615645017e-06,0.0006959532544498683,8.187685346469039e-06,0.0003393620540820323
ite,-0.23870304043573828,0.04054508290549562,-0.00018821757952192734,-2.57832300714969e-06,-4.492810849533941e-05
itt,0.5331534659084275,1.005879991393719e-06,0.0009730148508990971,1.3328970560261603e-05,0.0005187662401372255
jj,-0.13327994252203088,0.23855867731717573,-0.00030455481366373693,-3.855124223591607e-06,-4.0591048059910684e-05
jk,0.2922228610331085,0.007347165461949584,0.0005756786102194582,7.020470856334857e-06,0.0001682264505138938
jp,-0.3135476267997234,0.005490390157015317,-0.00012105845357297487,-1.5928743891180904e-06,-3.795759082185077e-05
js,-0.07051236168670011,0.539573349776149,-0.00014671361502347418,-1.905371623681483e-06,-1.034512348689849e-05
jw,-0.09649529165375123,0.37678750713713205,-0.0003598728645496674,-4.233798406466675e-06,-3.472603702299106e-05
jsut,-0.14622099165229668,0.2271052035960895,-7.846829880728185e-05,-1.1372217218446644e-06,-1.147371246486948e-05
jus,-0.07636709336496383,0.48464095605555657,-0.00038580246913580245,-4.5388525780682645e-06,-2.9462613180927403e-05
ka,0.11758276565174004,0.29892162568376807,-0.00017930144535805557,-2.2696385488361464e-06,2.108275983055452e-05
kay,-0.1380799189478609,0.22797761142263054,-0.00014671361502347418,-1.905371623681483e-06,-2.025820407098898e-05
kfc,-0.012193700783881345,0.9139627088824447,-0.0006472905715876155,-8.091132144845194e-06,-7.89286755016691e-06
kicks,-0.39775268185168133,0.00014922370950570734,-0.0017173300832910138,-2.0203883332835456e-05,-0.000683072646253572
kkk,0.15662496603863313,0.18573869453243905,-6.760210364046707e-05,-9.389181061175981e-07,1.058817718682831e-05
km,0.10111581255160662,0.38802975036323306,-0.00011399594682312158,-1.5404857678800213e-06,1.1526792790609678e-05
kool,-0.03993906565636175,0.7117907674377565,-0.0005744115265128862,-6.602431339228577e-06,-2.294145967116914e-05
ks,-0.4362105499405875,2.4062334376484276e-05,-0.0010718332512411426,-1.2463177340013286e-05,-0.0004675449719685067
lam,0.20379766101231447,0.088252302644318,3.5225453339175094e-05,5.032207619882156e-07,7.178864998622307e-06
lat,-0.31682037450642275,0.006315644057452753,-0.0006852402058495476,-9.517225081243717e-06,-0.0002170980586441119
lawd,0.16075801663710237,0.1569813589148564,-0.00022675736961451246,-2.907145764288621e-06,3.645306499707537e-05
legit,0.363844515914963,0.0004928697450564368,0.0015494163696178358,1.7809383558825697e-05,0.0005637466489543208
lemme,0.05152800977007638,0.6395399508145463,-2.2316783520112053e-05,-2.6567599428704825e-07,1.1499394392610134e-06
lf,-0.09042414246500474,0.45660572849825265,-7.846829880728185e-05,-1.1372217218446644e-06,-7.095428630336216e-06
liek,0.03453985396678334,0.7640152296560556,-6.292630854924278e-05,-8.172247863538024e-07,2.173465507959596e-06
lil,-0.049037428163397206,0.6558305553674773,-0.0005214631971767982,-6.207895204485693e-06,-2.5571214071412675e-05
lmao,0.42175401983049254,5.24735383263782e-05,0.00029845829360597247,3.5112740424232054e-06,0.00012587598508006828
ln,0.06997402508640468,0.5591702134776547,1.421885159786527e-05,2.0026551546289113e-07,9.949502784088898e-07
